Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ retail_voucher_fact_order_detail   (base table, 10 cols)",,,prod.retail_voucher_fact_order_detail,"CREATE INDEX retail_voucher_fact_order_detail_delivery_state_code_idx ON prod.retail_voucher_fact_order_detail USING btree (delivery_state_code)

CREATE INDEX retail_voucher_fact_order_detail_provider_key_idx ON prod.retail_voucher_fact_order_detail USING btree (provider_key)

CREATE INDEX retail_voucher_fact_order_detail_network_order_id_idx ON prod.retail_voucher_fact_order_detail USING btree (network_order_id)

CREATE INDEX retail_voucher_fact_order_detail_delivery_district_idx ON prod.retail_voucher_fact_order_detail USING btree (delivery_district)

CREATE INDEX retail_voucher_fact_order_detail_domain_idx ON prod.retail_voucher_fact_order_detail USING btree (domain)

CREATE INDEX retail_voucher_fact_order_detail_delivery_state_idx ON prod.retail_voucher_fact_order_detail USING btree (delivery_state)"
network_order_id,Data representing the network order id.,"prod.retail_voucher_fact_order_detail.""network_order_id""",prod.retail_voucher_fact_order_detail,
provider_key,Unique identifier for provider key.,"prod.retail_voucher_fact_order_detail.""provider_key""",prod.retail_voucher_fact_order_detail,
total_items,Data representing the total items.,"prod.retail_voucher_fact_order_detail.""total_items""",prod.retail_voucher_fact_order_detail,
domain,"The ONDC network domain (e.g., retail, logistics).","prod.retail_voucher_fact_order_detail.""domain""",prod.retail_voucher_fact_order_detail,
order_status,Turn-Around-Time (TAT) measurement.,"prod.retail_voucher_fact_order_detail.""order_status""",prod.retail_voucher_fact_order_detail,
delivery_pincode,Indian postal code (pincode).,"prod.retail_voucher_fact_order_detail.""delivery_pincode""",prod.retail_voucher_fact_order_detail,
order_date,Timestamp or date indicating when order date occurred.,"prod.retail_voucher_fact_order_detail.""order_date""",prod.retail_voucher_fact_order_detail,
delivery_district,Data representing the delivery district.,"prod.retail_voucher_fact_order_detail.""delivery_district""",prod.retail_voucher_fact_order_detail,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.retail_voucher_fact_order_detail.""delivery_state""",prod.retail_voucher_fact_order_detail,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.retail_voucher_fact_order_detail.""delivery_state_code""",prod.retail_voucher_fact_order_detail,
"▼ static_summary   (base table, 4 cols)",,,prod.static_summary,
month,Data representing the month.,"prod.static_summary.""month""",prod.static_summary,
domain,"The ONDC network domain (e.g., retail, logistics).","prod.static_summary.""domain""",prod.static_summary,
order_count,Data representing the order count.,"prod.static_summary.""order_count""",prod.static_summary,
updated_at,Timestamp when the record was last updated.,"prod.static_summary.""updated_at""",prod.static_summary,
